epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8235,1.44663,2.85181,1.27448,0.01042,0.75113,0.27622,0.19364,1.28904,2.90361,1.05773,0.00044299,0.00044299,0.00044299
2,84.3885,1.42279,1.91173,1.1972,0.36532,0.21531,0.29777,0.18593,1.34138,2.39456,1.1092,0.000882445,0.000882445,0.000882445
3,120.298,1.44733,1.89122,1.1906,0.39816,0.42075,0.37182,0.23231,1.41306,1.77372,1.14044,0.00130379,0.00130379,0.00130379
4,158.665,1.41233,1.79436,1.20031,0.44786,0.47448,0.41762,0.26061,1.35695,1.71462,1.12176,0.00134412,0.00134412,0.00134412
5,193.606,1.40265,1.66946,1.19141,0.42127,0.51209,0.45993,0.31148,1.35812,1.60095,1.14087,0.00131582,0.00131582,0.00131582
6,231.004,1.43035,1.63243,1.20657,0.54149,0.52098,0.4984,0.31266,1.35621,1.60795,1.14901,0.00128753,0.00128753,0.00128753
7,268.256,1.36004,1.53624,1.15136,0.55611,0.49733,0.52766,0.34891,1.37057,1.46496,1.13209,0.00125923,0.00125923,0.00125923
8,303.305,1.34783,1.49697,1.13696,0.52839,0.54321,0.52307,0.35425,1.3196,1.4161,1.1237,0.00123094,0.00123094,0.00123094
9,340.775,1.40374,1.50144,1.1842,0.44121,0.69689,0.55224,0.35381,1.34093,1.36403,1.14414,0.00120265,0.00120265,0.00120265
10,376.263,1.35859,1.45049,1.16465,0.59266,0.59195,0.6095,0.40883,1.32335,1.2686,1.12673,0.00117435,0.00117435,0.00117435
11,413.073,1.4032,1.45554,1.16897,0.49796,0.70853,0.53751,0.33507,1.36757,1.30279,1.138,0.00114606,0.00114606,0.00114606
12,448.955,1.35057,1.3841,1.15971,0.55071,0.63754,0.58797,0.36623,1.35915,1.24366,1.1397,0.00111776,0.00111776,0.00111776
13,484.865,1.30507,1.32861,1.14048,0.60242,0.64094,0.65834,0.43976,1.3441,1.24116,1.12506,0.00108947,0.00108947,0.00108947
14,519.783,1.30467,1.29325,1.11674,0.59099,0.54741,0.58911,0.37708,1.34302,1.41243,1.12387,0.00106118,0.00106118,0.00106118
15,557.529,1.27561,1.32477,1.12899,0.78072,0.59183,0.72558,0.4941,1.31019,1.12478,1.11883,0.00103288,0.00103288,0.00103288
16,594.934,1.34328,1.25333,1.13307,0.65328,0.56119,0.62869,0.42101,1.31851,1.29038,1.09788,0.00100459,0.00100459,0.00100459
17,629.63,1.2506,1.37634,1.10971,0.83147,0.58959,0.72427,0.49728,1.30108,1.11966,1.09393,0.000976293,0.000976293,0.000976293
18,667.835,1.30109,1.19725,1.116,0.60235,0.67314,0.68245,0.45893,1.3467,1.16874,1.12487,0.000947999,0.000947999,0.000947999
19,703.265,1.25643,1.1588,1.09463,0.75981,0.65055,0.73185,0.51437,1.31505,1.07655,1.10223,0.000919704,0.000919704,0.000919704
20,740.83,1.25646,1.17094,1.11256,0.63327,0.69231,0.66434,0.44835,1.30599,1.09656,1.10924,0.00089141,0.00089141,0.00089141
21,776.705,1.2325,1.15987,1.10448,0.71138,0.60764,0.67734,0.45597,1.31508,1.10049,1.10955,0.000863116,0.000863116,0.000863116
22,812.783,1.22778,1.1436,1.10277,0.68348,0.627,0.67689,0.46881,1.2756,1.15212,1.09363,0.000834822,0.000834822,0.000834822
23,844.323,1.23411,1.1477,1.08287,0.65811,0.65997,0.66897,0.43409,1.34282,1.10634,1.10942,0.000806528,0.000806528,0.000806528
