epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8804,1.43623,2.78849,1.27751,0.33519,0.26034,0.20152,0.13802,1.22681,2.82062,1.05598,0.000463459,0.000463459,0.000463459
2,97.9391,1.40263,1.954,1.20765,0.34513,0.42469,0.2834,0.17649,1.33663,2.3075,1.11708,0.000921185,0.000921185,0.000921185
3,143.323,1.46921,1.84053,1.22648,0.43793,0.51378,0.40009,0.26407,1.30725,1.74503,1.09194,0.00136005,0.00136005,0.00136005
4,189.521,1.38137,1.77418,1.19752,0.4463,0.53628,0.47384,0.30384,1.31862,1.50253,1.12463,0.00134412,0.00134412,0.00134412
5,234.493,1.41301,1.63216,1.18579,0.51225,0.51649,0.46288,0.28625,1.37342,1.58081,1.146,0.00131582,0.00131582,0.00131582
6,278.601,1.37249,1.57306,1.16174,0.44261,0.65799,0.51456,0.34282,1.30785,1.47489,1.11554,0.00128753,0.00128753,0.00128753
7,325.465,1.37042,1.55683,1.17129,0.52671,0.63273,0.56172,0.36574,1.26998,1.37752,1.10745,0.00125923,0.00125923,0.00125923
8,369.271,1.34812,1.48389,1.17394,0.45626,0.70676,0.54065,0.3632,1.22798,1.5003,1.08444,0.00123094,0.00123094,0.00123094
9,413.298,1.34873,1.42348,1.16642,0.516,0.63863,0.59409,0.39424,1.28574,1.30495,1.09362,0.00120265,0.00120265,0.00120265
10,459.345,1.32376,1.36485,1.14565,0.59342,0.64127,0.61727,0.43664,1.23305,1.2413,1.08302,0.00117435,0.00117435,0.00117435
11,503.972,1.34695,1.39442,1.16534,0.6296,0.63827,0.67935,0.44536,1.27069,1.44245,1.08621,0.00114606,0.00114606,0.00114606
12,548.438,1.30364,1.32324,1.13667,0.61893,0.67597,0.70838,0.48042,1.22857,1.20954,1.08069,0.00111776,0.00111776,0.00111776
13,593.291,1.29054,1.30591,1.13389,0.71646,0.66197,0.73694,0.49788,1.22643,1.13796,1.07092,0.00108947,0.00108947,0.00108947
14,637.3,1.27266,1.26559,1.11402,0.78029,0.66165,0.75879,0.51112,1.2058,1.1401,1.06573,0.00106118,0.00106118,0.00106118
15,681.039,1.28258,1.22394,1.11417,0.65075,0.71497,0.73238,0.50559,1.20348,1.10869,1.07178,0.00103288,0.00103288,0.00103288
16,724.61,1.26377,1.20278,1.10255,0.63782,0.70145,0.72394,0.5029,1.19845,1.15608,1.04825,0.00100459,0.00100459,0.00100459
17,768.451,1.27807,1.21174,1.12531,0.7137,0.67956,0.72169,0.51115,1.18957,1.15623,1.05628,0.000976293,0.000976293,0.000976293
18,812.431,1.26349,1.20559,1.12154,0.80329,0.7396,0.82759,0.59175,1.16211,0.96627,1.0385,0.000947999,0.000947999,0.000947999
19,853.73,1.29199,1.15969,1.1182,0.80943,0.74599,0.83277,0.59822,1.15975,0.91984,1.03808,0.000919704,0.000919704,0.000919704
20,898.446,1.23971,1.10099,1.10661,0.77785,0.79448,0.83768,0.60901,1.1648,0.95403,1.0424,0.00089141,0.00089141,0.00089141
21,939.406,1.21023,1.07354,1.08904,0.82182,0.69156,0.8014,0.56935,1.18926,0.96385,1.04793,0.000863116,0.000863116,0.000863116
22,978.47,1.23232,1.08822,1.11132,0.8324,0.74482,0.87433,0.6218,1.16724,0.92926,1.03979,0.000834822,0.000834822,0.000834822
23,1022.38,1.24589,1.08905,1.0922,0.81955,0.77384,0.84974,0.61948,1.15002,0.90693,1.03683,0.000806528,0.000806528,0.000806528
24,1068.17,1.19462,1.0489,1.08568,0.84831,0.78022,0.86773,0.62019,1.14856,0.8687,1.04071,0.000778233,0.000778233,0.000778233
25,1113.09,1.18388,1.01706,1.07967,0.85546,0.79002,0.87577,0.62834,1.14705,0.84545,1.02669,0.000749939,0.000749939,0.000749939
26,1158.15,1.1978,0.97619,1.08301,0.81988,0.8125,0.87534,0.6483,1.10011,0.86869,1.01876,0.000721645,0.000721645,0.000721645
27,1201.08,1.1745,0.99273,1.08455,0.8691,0.82218,0.89755,0.66449,1.11598,0.80594,1.02165,0.000693351,0.000693351,0.000693351
28,1244.43,1.19121,0.99183,1.08973,0.87052,0.76339,0.88907,0.65034,1.11446,0.84903,1.02531,0.000665057,0.000665057,0.000665057
29,1286.54,1.18833,0.95124,1.07789,0.88422,0.79101,0.89319,0.65191,1.11762,0.80183,1.01583,0.000636762,0.000636762,0.000636762
30,1331.26,1.13608,0.91467,1.06286,0.88421,0.80931,0.89397,0.65439,1.11795,0.824,1.01451,0.000608468,0.000608468,0.000608468
31,1374.33,1.1599,0.89254,1.0524,0.81455,0.83059,0.88829,0.65189,1.12422,0.82227,1.02369,0.000580174,0.000580174,0.000580174
32,1416.4,1.17669,0.92471,1.07057,0.87729,0.82806,0.89891,0.66135,1.10153,0.79787,1.00889,0.00055188,0.00055188,0.00055188
33,1461.49,1.14844,0.87154,1.06865,0.86961,0.83162,0.91092,0.6934,1.06615,0.75348,0.99448,0.000523586,0.000523586,0.000523586
